Artist,Popularity_min,Popularity_max,Popularity_mean,Popularity_var,Danceability_min,Danceability_max,Danceability_mean,Danceability_var,Energy_min,Energy_max,Energy_mean,Energy_var,Loudness_min,Loudness_max,Loudness_mean,Loudness_var,Speechiness_min,Speechiness_max,Speechiness_mean,Speechiness_var,Acousticness_min,Acousticness_max,Acousticness_mean,Acousticness_var,Instrumentalness_min,Instrumentalness_max,Instrumentalness_mean,Instrumentalness_var,Liveness_min,Liveness_max,Liveness_mean,Liveness_var,Valence_min,Valence_max,Valence_mean,Valence_var,Tempo_min,Tempo_max,Tempo_mean,Tempo_var,Genre_classical,Genre_rap,Genre_r&b,Genre_industrial,Genre_indie,Genre_opera,Genre_neo soul,Genre_orchestra,Genre_psychedelic rock,Genre_soundtrack,Genre_art pop,Genre_german hip hop,Genre_classic rock,Genre_electro,Genre_bedroom pop,Genre_electronic,Genre_art rock,Genre_alternative r&b,Genre_reggae,Genre_singer-songwriter,Key_<lambda>,Mode_<lambda>,Time Signature_<lambda>,Track_Count
Marvin Gaye,2,2,2.0,,0.669,0.669,0.669,,0.616,0.616,0.616,,-10.776,-10.776,-10.776,,0.033,0.033,0.033,,0.482,0.482,0.482,,0.0,0.0,0.0,,0.179,0.179,0.179,,0.818,0.818,0.818,,130.037,130.037,130.037,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,1
Mary J. Blige,0,1,0.5,0.5,0.599,0.914,0.7565,0.04961250000000004,0.551,0.565,0.558,9.79999999999994e-05,-4.663,-3.879,-4.271,0.30732800000000005,0.0334,0.0455,0.03945,7.3205e-05,0.0663,0.133,0.09965,0.0022244450000000007,0.0,2.61e-05,1.305e-05,3.4060500000000004e-10,0.0841,0.207,0.14554999999999998,0.0075522049999999985,0.576,0.967,0.7715,0.07644050000000001,82.251,92.889,87.57,56.58352199999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2
Masahiro Aoki,26,37,32.2,16.199999999999996,0.161,0.57,0.3882,0.0315842,0.684,0.831,0.7556,0.0034927999999999964,-11.908,-9.728,-10.524199999999999,0.787433200000001,0.0325,0.131,0.0665,0.00154691,0.000133,0.254,0.0758666,0.0105767031778,0.13,0.914,0.5604,0.13464730000000003,0.103,0.625,0.2642,0.042561200000000014,0.071,0.404,0.26339999999999997,0.016905299999999995,79.528,174.564,128.4314,1301.7375568,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5
Massive Attack,69,69,69.0,,0.592,0.592,0.592,,0.835,0.835,0.835,,-8.475,-8.475,-8.475,,0.032,0.032,0.032,,0.0393,0.0393,0.0393,,0.209,0.209,0.209,,0.665,0.665,0.665,,0.703,0.703,0.703,,114.436,114.436,114.436,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,1
Matilda Mann,0,0,0.0,,0.53,0.53,0.53,,0.349,0.349,0.349,,-11.501,-11.501,-11.501,,0.0366,0.0366,0.0366,,0.667,0.667,0.667,,2.87e-05,2.87e-05,2.87e-05,,0.126,0.126,0.126,,0.383,0.383,0.383,,143.504,143.504,143.504,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1
Matty,0,0,0.0,,0.518,0.518,0.518,,0.439,0.439,0.439,,-9.367,-9.367,-9.367,,0.0295,0.0295,0.0295,,0.77,0.77,0.77,,0.891,0.891,0.891,,0.11,0.11,0.11,,0.283,0.283,0.283,,93.003,93.003,93.003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1
Mattyeux,77,77,77.0,,0.705,0.705,0.705,,0.467,0.467,0.467,,-9.261,-9.261,-9.261,,0.0343,0.0343,0.0343,,0.564,0.564,0.564,,0.00107,0.00107,0.00107,,0.0969,0.0969,0.0969,,0.27,0.27,0.27,,107.993,107.993,107.993,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,1
Maty Noyes,0,14,7.0,98.0,0.599,0.679,0.639,0.003200000000000006,0.732,0.791,0.7615000000000001,0.0017404999999999999,-6.06,-5.563,-5.8115,0.12350449999999995,0.0422,0.0497,0.045950000000000005,2.8125000000000023e-05,0.00142,0.292,0.14670999999999998,0.042218368199999995,0.0,0.0,0.0,0.0,0.102,0.111,0.1065,4.050000000000007e-05,0.335,0.508,0.4215,0.014964499999999993,100.046,111.022,105.534,60.23628799999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2
Maurice Ravel,7,29,19.0,124.0,0.141,0.556,0.2886666666666667,0.05379633333333334,0.0471,0.145,0.08486666666666666,0.002771303333333333,-27.3,-18.232,-21.816666666666666,23.260857333333334,0.0379,0.0592,0.04623333333333333,0.00012952333333333336,0.852,0.995,0.9423333333333334,0.006176333333333335,0.812,0.965,0.9093333333333332,0.007154333333333328,0.0753,0.16,0.1191,0.0017998299999999999,0.044,0.352,0.18366666666666664,0.024332333333333327,79.236,113.069,98.06633333333333,297.15624633333334,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
Mavi Gri,57,57,57.0,,0.469,0.469,0.469,,0.72,0.72,0.72,,-7.755,-7.755,-7.755,,0.0514,0.0514,0.0514,,0.308,0.308,0.308,,4.42e-06,4.42e-06,4.42e-06,,0.316,0.316,0.316,,0.534,0.534,0.534,,172.106,172.106,172.106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,1
Maya Perest,43,43,43.0,,0.481,0.481,0.481,,0.473,0.473,0.473,,-10.285,-10.285,-10.285,,0.0377,0.0377,0.0377,,0.616,0.616,0.616,,0.000144,0.000144,0.000144,,0.106,0.106,0.106,,0.527,0.527,0.527,,130.982,130.982,130.982,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,1
Mazhar,0,0,0.0,,0.608,0.608,0.608,,0.221,0.221,0.221,,-19.576,-19.576,-19.576,,0.0305,0.0305,0.0305,,0.767,0.767,0.767,,3.86e-06,3.86e-06,3.86e-06,,0.0973,0.0973,0.0973,,0.395,0.395,0.395,,132.716,132.716,132.716,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
Mazhar Alanson,0,28,14.0,392.0,0.632,0.891,0.7615000000000001,0.03354049999999999,0.244,0.693,0.46849999999999997,0.10080049999999997,-13.377,-7.991,-10.684000000000001,14.50449800000001,0.0287,0.104,0.06634999999999999,0.002835045,0.0705,0.881,0.47575,0.328455125,0.0,1.77e-05,8.85e-06,1.56645e-10,0.0941,0.109,0.10155,0.00011100499999999994,0.512,0.759,0.6355,0.030504500000000014,80.941,115.013,97.977,580.4505920000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2
McDonald & Jannetta,47,47,47.0,,0.426,0.426,0.426,,0.876,0.876,0.876,,-4.81,-4.81,-4.81,,0.055,0.055,0.055,,0.0226,0.0226,0.0226,,0.583,0.583,0.583,,0.269,0.269,0.269,,0.13,0.13,0.13,,87.817,87.817,87.817,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1
Mcbaise,36,47,41.5,60.5,0.527,0.684,0.6055,0.012324500000000004,0.573,0.605,0.589,0.000512000000000001,-10.118,-8.131,-9.124500000000001,1.974084500000002,0.0366,0.0468,0.0417,5.202000000000001e-05,0.000427,0.19,0.0952135,0.017968961164500002,0.00163,0.478,0.239815,0.11346418844999999,0.0976,0.557,0.32730000000000004,0.10552418000000001,0.265,0.58,0.4225,0.04961249999999998,74.954,85.029,79.9915,50.7528125000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Meat Loaf,61,61,61.0,,0.395,0.395,0.395,,0.562,0.562,0.562,,-10.383,-10.383,-10.383,,0.0811,0.0811,0.0811,,0.467,0.467,0.467,,4.13e-06,4.13e-06,4.13e-06,,0.143,0.143,0.143,,0.363,0.363,0.363,,103.909,103.909,103.909,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
Megadeth,64,69,66.5,12.5,0.322,0.61,0.46599999999999997,0.04147199999999999,0.889,0.932,0.9105000000000001,0.0009244999999999992,-5.452,-4.252,-4.852,0.7200000000000008,0.0585,0.163,0.11075,0.005460125,8.57e-05,0.000794,0.00043985,2.50844445e-07,0.0865,0.817,0.45175,0.26681512499999993,0.0657,0.0969,0.0813,0.00048672000000000016,0.376,0.506,0.441,0.008450000000000001,138.042,139.903,138.9725,1.7316604999999814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2
Mehmet Güreli,0,34,11.333333333333334,385.3333333333333,0.574,0.858,0.6753333333333332,0.02512533333333334,0.3,0.475,0.40399999999999997,0.008473000000000003,-13.294,-9.065,-10.915666666666667,4.679934333333338,0.0269,0.0631,0.0394,0.00042169000000000006,0.00486,0.893,0.58562,0.2532506332,1.15e-05,0.00981,0.005017166666666666,2.4036624083333333e-05,0.0793,0.153,0.10616666666666667,0.0016569233333333334,0.159,0.822,0.5686666666666667,0.12822233333333333,125.768,131.929,127.921,12.070248999999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
